filepath,[space],i,e,t,l,r,[newline],s,n,_,a,f,o,(,),d,c,;,p,h,u,*,=,>,",",m,-,L,{,},"""",y,F,E,x,z,T,.,N,w,I,#,b,A,0,M,R,H,v,<,C,+,D,[,],%,1,/,G,!,S,X,U,:,`,2,g,O,k,@,P,',\,5,6,|,3,K,Y,&,4,8
/home/lespend/program/c/laba-3/main.c,943,242,260,240,173,183,164,167,135,133,133,110,80,88,88,85,67,74,65,65,50,52,43,33,51,40,28,43,32,32,36,27,20,29,15,19,19,13,20,15,15,12,14,13,8,11,11,11,11,8,2,7,9,6,6,8,8,4,9,8,8,8,7,5,6,3,5,4,5,2,3,3,3,2,2,2,0,2,2,0,1,1
/home/lespend/program/c/laba-3/result.txt,0,6,5,13,6,3,3,2,3,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
/home/lespend/program/c/laba-3/def.c,830,254,237,240,161,141,152,145,151,112,98,100,103,77,77,77,79,70,69,55,67,51,48,56,36,45,48,30,30,30,24,26,30,18,20,18,14,10,12,13,10,12,7,10,12,8,9,8,8,10,16,10,8,11,11,8,8,3,6,6,6,6,5,6,4,3,4,4,3,1,3,2,2,2,2,2,0,1,1,2,1,1
/home/lespend/program/c/laba-3/labyrinth/file.txt,2,4,4,4,4,0,2,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/a.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/z.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/test/file2.txt,1,2,2,2,2,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/test/b.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/test/z.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/test2/file3.txt,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/test2/b.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/lespend/program/c/laba-3/labyrinth/test2/a.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,1776,509,508,500,346,328,323,314,293,245,235,216,184,165,165,165,149,144,134,123,121,103,91,89,87,85,76,73,62,62,60,56,50,47,41,37,33,32,32,28,25,24,24,23,20,20,20,19,19,18,18,17,17,17,17,16,16,15,15,14,14,14,12,11,10,9,9,8,8,6,6,5,5,4,4,4,3,3,3,2,2,2
